CMDLINE c:\users\arthur\anaconda3\python.exe ./pyperplan-master/src/pyperplan.py -H hadd -s astar pyperplan-master/benchmarks/tpp/task07.pddl
MEM 0.496094 1538731595.6796
MEM 13.671875 1538731595.7806
MEM 20.742188 1538731595.8815
MEM 26.214844 1538731595.9825
MEM 31.878906 1538731596.0834
MEM 33.890625 1538731596.1843
MEM 34.316406 1538731596.2853
MEM 34.714844 1538731596.3862
MEM 35.027344 1538731596.4872
MEM 35.593750 1538731596.5881
MEM 36.011719 1538731596.6891
MEM 36.265625 1538731596.7900
MEM 36.582031 1538731596.8909
MEM 36.960938 1538731596.9919
MEM 37.214844 1538731597.0928
MEM 37.671875 1538731597.1938
MEM 38.226562 1538731597.2947
MEM 38.578125 1538731597.3956
MEM 38.894531 1538731597.4966
MEM 39.222656 1538731597.5975
MEM 39.871094 1538731597.6985
MEM 40.187500 1538731597.7994
MEM 40.187500 1538731597.9004
MEM 40.503906 1538731598.0013
MEM 40.792969 1538731598.1022
MEM 41.152344 1538731598.2032
MEM 41.609375 1538731598.3041
MEM 42.199219 1538731598.4051
MEM 42.503906 1538731598.5060
MEM 42.851562 1538731598.6069
MEM 43.171875 1538731598.7079
MEM 43.492188 1538731598.8088
MEM 44.128906 1538731598.9098
MEM 44.445312 1538731599.0107
MEM 44.761719 1538731599.1117
MEM 45.058594 1538731599.2126
MEM 45.394531 1538731599.3135
MEM 45.648438 1538731599.4145
MEM 46.027344 1538731599.5154
MEM 46.660156 1538731599.6164
MEM 47.230469 1538731599.7173
MEM 47.546875 1538731599.8182
MEM 47.863281 1538731599.9192
MEM 48.242188 1538731600.0201
MEM 48.789062 1538731600.1211
MEM 49.109375 1538731600.2220
MEM 49.726562 1538731600.3230
MEM 50.042969 1538731600.4239
MEM 50.359375 1538731600.5248
MEM 50.738281 1538731600.6258
MEM 51.308594 1538731600.7267
MEM 51.625000 1538731600.8277
MEM 52.195312 1538731600.9286
MEM 52.574219 1538731601.0296
MEM 52.890625 1538731601.1305
MEM 53.457031 1538731601.2314
MEM 53.777344 1538731601.3324
MEM 54.093750 1538731601.4333
MEM 54.421875 1538731601.5343
MEM 54.789062 1538731601.6352
MEM 55.105469 1538731601.7361
MEM 55.421875 1538731601.8371
MEM 55.964844 1538731601.9380
MEM 56.312500 1538731602.0390
MEM 56.628906 1538731602.1399
MEM 56.945312 1538731602.2409
MEM 57.250000 1538731602.3418
MEM 57.582031 1538731602.4427
MEM 57.898438 1538731602.5437
MEM 58.214844 1538731602.6446
MEM 58.500000 1538731602.7456
MEM 58.847656 1538731602.8465
MEM 59.164062 1538731602.9474
MEM 59.457031 1538731603.0484
MEM 59.777344 1538731603.1493
MEM 60.117188 1538731603.2503
MEM 60.433594 1538731603.3512
MEM 61.003906 1538731603.4522
MEM 61.300781 1538731603.5531
MEM 61.636719 1538731603.6540
MEM 61.699219 1538731603.7550
MEM 62.574219 1538731603.8559
MEM 62.867188 1538731603.9569
MEM 63.214844 1538731604.0578
MEM 63.531250 1538731604.1587
MEM 63.847656 1538731604.2597
MEM 64.136719 1538731604.3606
MEM 64.480469 1538731604.4616
MEM 64.796875 1538731604.5625
MEM 65.113281 1538731604.6635
MEM 65.402344 1538731604.7644
MEM 65.746094 1538731604.8653
MEM 46.167969 1538731604.9663
